	CODE	NAME	TYPE	RELEVANCE	HRS
0	CMP	Computing essentials			152.0
1	CMP.cf	Computer science foundations			120.0
2	CMP.cf.1	Programming fundamentals (control and data, typing, recursion)	Application	Essential	
3	CMP.cf.2	Algorithms, data structures, and complexity	Application	Essential	
4	CMP.cf.3	Problem solving techniques	Application	Essential	
5	CMP.cf.4	Abstraction, use and support for (encapsulation, hierarchy, etc.)	Application	Essential	
6	CMP.cf.5	Computer organization	Comprehension	Essential	
7	CMP.cf.6	Basic user human factors (I/O, error messages, and robustness)	Comprehension	Essential	
8	CMP.cf.7	Basic developer human factors (comments, structure, and readability)	Comprehension	Essential	
9	CMP.cf.8	Programming language basics	Application	Essential	
10	CMP.cf.9	Operating system basics	Comprehension	Essential	
11	CMP.cf.10	Database fundamentals	Comprehension	Essential	
12	CMP.cf.11	Network protocols	Comprehension	Essential	
13	CMP.ct	Construction technologies			20.0
14	CMP.ct.1	API design and use	Application	Essential	
15	CMP.ct.2	Code reuse and libraries	Application	Essential	
16	CMP.ct.3	Object-oriented runtime issues (e.g., polymorphism and dynamic binding)	Application	Essential	
17	CMP.ct.4	Parameterization and generics	Application	Essential	
18	CMP.ct.5	Assertions, design by contract, and defensive programming	Application	Essential	
19	CMP.ct.6	Error handling, exception handling, and fault tolerance	Application	Essential	
20	CMP.ct.7	State-based and table-driven construction techniques	Comprehension	Essential	
21	CMP.ct.8	Runtime configuration and internationalization	Application	Essential	
22	CMP.ct.9	Grammar-based input processing (parsing)	Application	Essential	
23	CMP.ct.10	Concurrency primitives (e.g., semaphores and monitors)	Application	Essential	
24	CMP.ct.11	Construction methods for distributed software (e.g., cloud and mobile computing)	Application	Essential	
25	CMP.ct.12	Constructing hardware/software systems	Comprehension	Essential	
26	CMP.ct.13	Performance analysis and tuning	Knowledge	Essential	
27	CMP.tl	Construction tools			12.0
28	CMP.tl.1	Development environments	Application	Essential	
29	CMP.tl.2	User interface frameworks and tools	Comprehension	Essential	
30	CMP.tl.3	Unit testing tools	Comprehension	Essential	
31	FND	Mathematical and engineering fundamentals			80.0
32	FND.mf	Mathematical foundations			50.0
33	FND.mf.1	Functions, relations, and sets	Application	Essential	
34	FND.mf.2	Basic logic (propositional and predicate)	Application	Essential	
35	FND.mf.3	Proof techniques (direct, contradiction, and inductive)	Application	Essential	
36	FND.mf.4	Basics of counting	Application	Essential	
37	FND.mf.5	Graphs and trees	Application	Essential	
38	FND.mf.6	Discrete probability	Application	Essential	
39	FND.mf.7	Finite state machines and regular expressions	Comprehension	Essential	
40	FND.mf.8	Grammars	Comprehension	Essential	
41	FND.mf.9	Numerical precision, accuracy, and errors	Comprehension	Essential	
42	FND.mf.10	Number theory			
43	FND.ef	Engineering foundations for software			22.0
44	FND.ef.1	Empirical methods and experimental techniques (e.g., CPU and memory usage measurement)	Comprehension	Essential	
45	FND.ef.2	Statistical analysis (e.g., simple hypothesis testing, estimating, regression, and correlation.)	Application	Essential	
46	FND.ef.3	Measurement and metrics	Knowledge	Essential	
47	FND.ef.4	Systems development (e.g., security, safety, performance, effects of scaling, and feature interaction)	Knowledge	Essential	
48	FND.ef.5	Engineering design (e.g., formulation of problem, alternative solutions, and feasibility)	Comprehension	Essential	
49	FND.ef.6	Theory of measurement (e.g., criteria for valid measurement)	Comprehension	Essential	
50	FND.ec	Engineering economics for software			8.0
51	FND.ec.1	Value considerations throughout the software life cycle	Knowledge	Essential	
52	FND.ec.2	Evaluating cost-effective solutions (e.g., benefits realization, tradeoff analysis, cost analysis, and return on investment)	Comprehension	Essential	
53	PRF	Professional practice			29.0
54	PRF.psy	Group dynamics and psychology			8.0
55	PRF.psy.1	Dynamics of working in teams and groups	Application	Essential	
56	PRF.psy.2	Individual cognition (e.g., limits)	Knowledge	Essential	
57	PRF.psy.3	Cognitive problem complexity	Knowledge	Essential	
58	PRF.psy.4	Interacting with stakeholders	Comprehension	Essential	
59	PRF.psy.5	Dealing with uncertainty and ambiguity	Knowledge	Essential	
60	PRF.psy.6	Dealing with multicultural environments	Knowledge	Essential	
61	PRF.com	Communications skills (specific to SE)			15.0
62	PRF.com.1	Reading, understanding, and summarizing reading (e.g., source code, and documentation)	Application	Essential	
63	PRF.com.2	Writing (assignments, reports, evaluations, justifications, etc.)	Application	Essential	
64	PRF.com.3	Team and group communication (both oral and written, email, etc.)	Application	Essential	
65	PRF.com.4	Presentation skills	Application	Essential	
66	PRF.pr	Professionalism			6.0
67	PRF.pr.1	Accreditation, certification, and licensing	Knowledge	Essential	
68	PRF.pr.2	Codes of ethics and professional conduct	Comprehension	Essential	
69	PRF.pr.3	Social, legal, historical, and professional issues and concerns	Comprehension	Essential	
70	PRF.pr.4	The nature and role of professional societies	Knowledge	Essential	
71	PRF.pr.5	The nature and role of software engineering standards	Knowledge	Essential	
72	PRF.pr.6	The economic impact of software	Comprehension	Essential	
73	PRF.pr.7	Employment contracts	Knowledge	Essential	
74	MAA	Software modeling and analysis			28.0
75	MAA.md	Modeling foundations			8.0
76	MAA.md.1	Modeling principles (e.g., decomposition, abstraction, generalization, projection/views, and use of formal approaches)	Comprehension	Essential	
77	MAA.md.2	Preconditions, postconditions, invariants, and design by contract	Comprehension	Essential	
78	MAA.md.3	Introduction to mathematical models and formal notation	Knowledge	Essential	
79	MAA.tm	Types of models			12.0
80	MAA.tm.1	Information modeling (e.g., entity-relationship modeling and class diagrams)	Application	Essential	
81	MAA.tm.2	Behavioral modeling (e.g., state diagrams, use case analysis, interaction diagrams, failure modes and effects analysis, and fault tree analysis)	Application	Essential	
82	MAA.tm.3	Architectural modeling (e.g., architectural patterns and component diagrams)	Comprehension	Essential	
83	MAA.tm.4	Domain modeling (e.g., domain engineering approaches)	Knowledge	Essential	
84	MAA.tm.5	Enterprise modeling (e.g., business processes, organizations, goals, and workflow)			
85	MAA.tm.6	Modeling embedded systems (e.g., real-time schedule analysis, and interface protocols)			
86	MAA.af	Analysis fundamentals			8.0
87	MAA.af.1	Analyzing form (e.g., completeness, consistency, and robustness)	Comprehension	Essential	
88	MAA.af.2	Analyzing correctness (e.g., static analysis, simulation, and model checking)	Application	Essential	
89	MAA.af.3	Analyzing dependability (e.g., failure mode analysis and fault trees)	Knowledge	Essential	
90	MAA.af.4	Formal analysis (e.g., theorem proving)	Knowledge	Essential	
91	REQ	Requirements analysis and specification			30.0
92	REQ.rfd	Requirements fundamentals			6.0
93	REQ.rfd.1	Definition of requirements (e.g., product, project, constraints, system boundary, external, and internal)	Comprehension	Essential	
94	REQ.rfd.2	Requirements process	Comprehension	Essential	
95	REQ.rfd.3	Layers/levels of requirements (e.g., needs, goals, user requirements, system requirements, and software requirements)	Comprehension	Essential	
96	REQ.rfd.4	Requirements characteristics (e.g., testable, unambiguous, consistent, correct, traceable, and priority)	Comprehension	Essential	
97	REQ.rfd.5	Analyzing quality (nonfunctional) requirements (e.g., safety, security, usability, and performance)	Application	Essential	
98	REQ.rfd.6	Software requirements in the context of systems engineering	Knowledge	Essential	
99	REQ.rfd.7	Requirements evolution	Comprehension	Essential	
100	REQ.rfd.8	Traceability	Comprehension	Essential	
101	REQ.rfd.9	Prioritization, trade-off analysis, risk analysis, and impact analysis	Comprehension	Essential	
102	REQ.rfd.10	Requirements management (e.g., consistency management, release planning, and reuse)	Knowledge	Essential	
103	REQ.rfd.11	Interaction between requirements and architecture	Knowledge	Essential	
104	REQ.er	Eliciting requirements			10.0
105	REQ.er.1	Elicitation sources (e.g., stakeholders, domain experts, and operational and organization environments)	Comprehension	Essential	
106	REQ.er.2	Elicitation techniques (e.g., interviews, questionnaires/surveys, prototypes, use cases, observation, and participatory techniques)	Application	Essential	
107	REQ.rsd	Requirements specification and documentation			10.0
108	REQ.rsd.1	Requirements documentation basics (e.g., types, audience, structure, quality, attributes, and standards)	Knowledge	Essential	
109	REQ.rsd.2	Software requirements specification techniques (e.g., plan-driven requirements documentation, decision tables, user stories, and behavioral specifications)	Application	Essential	
110	REQ.rv	Requirements validation			4.0
111	REQ.rv.1	Reviews and inspections	Application	Essential	
112	REQ.rv.2	Prototyping to validate requirements	Knowledge	Essential	
113	REQ.rv.3	Acceptance test design	Comprehension	Essential	
114	REQ.rv.4	Validating product quality attributes	Comprehension	Essential	
115	REQ.rv.5	Requirements interaction analysis (e.g., feature interaction)	Knowledge	Essential	
116	REQ.rv.6	Formal requirements analysis		Desirable	
117	DES	Software design			48.0
118	DES.con	Design concepts			3.0
119	DES.con.1	Definition of design	Comprehension	Essential	
120	DES.con.2	Fundamental design issues (e.g., persistent data, storage management, and exceptions)	Comprehension	Essential	
121	DES.con.3	Context of design within multiple software development life cycles	Knowledge	Essential	
122	DES.con.4	Design principles (information hiding, cohesion, and coupling)	Application	Essential	
123	DES.con.5	Interactions between design and requirements	Comprehension	Essential	
124	DES.con.6	Design for quality attributes (e.g., reliability, usability, maintainability, performance, testability, security, and fault tolerance)	Knowledge	Essential	
125	DES.con.7	Design trade-offs	Knowledge	Essential	
126	DES.str	Design strategies			6.0
127	DES.str.1	Function-oriented design	Comprehension	Essential	
128	DES.str.2	Object-oriented design	Application	Essential	
129	DES.str.3	Data-structure centered design		Desirable	
130	DES.str.4	Aspect-oriented design		Desirable	
131	DES.ar	Architectural design			12.0
132	DES.ar.1	Architectural styles, patterns, and frameworks	Application	Essential	
133	DES.ar.2	Architectural trade-offs among various attributes	Application	Essential	
134	DES.ar.3	Hardware and systems engineering issues in software architecture	Knowledge	Essential	
135	DES.ar.4	Requirements traceability in architecture	Knowledge	Essential	
136	DES.ar.5	Service-oriented architectures	Knowledge	Essential	
137	DES.ar.6	Architectures for network, mobile, and embedded systems	Knowledge	Essential	
138	DES.ar.7	Relationship between product architecture and the structure of development organization and market	Knowledge	Essential	
139	DES.hci	Human-computer interaction design			10.0
140	DES.hci.1	General HCI design principles	Application	Essential	
141	DES.hci.2	Use of modes and navigation	Application	Essential	
142	DES.hci.3	Coding techniques and visual design (e.g., color, icons, and fonts)	Comprehension	Essential	
143	DES.hci.4	Response time and feedback	Application	Essential	
144	DES.hci.5	Design modalities (e.g., direct manipulation, menu selection, forms, question-answer, and commands)	Application	Essential	
145	DES.hci.6	Localization and internationalization	Comprehension	Essential	
146	DES.hci.7	HCI design methods	Comprehension	Essential	
147	DES.hci.8	Interface modalities (e.g., speech and natural language, audio/video, and tactile)		Desirable	
148	DES.hci.9	Metaphors and conceptual models			
149	DES.hci.10	Psychology of HCI			
150	DES.dd	Detailed design			14.0
151	DES.dd.1	Design patterns	Application	Essential	
152	DES.dd.2	Database design	Application	Essential	
